State,Congressional District (CD),Gender,Age Group,Date,Veteran
Alabama,CD 1,Female,65 and Over,9/30/2021,944.5957924
Alabama,CD 1,Female,Under 65,9/30/2021,4602.204617
Alabama,CD 1,Male,65 and Over,9/30/2021,24539.13339
Alabama,CD 1,Male,Under 65,9/30/2021,24522.236
Alabama,CD 2,Female,65 and Over,9/30/2021,1464.996095
Alabama,CD 2,Female,Under 65,9/30/2021,7752.053875
Alabama,CD 2,Male,65 and Over,9/30/2021,22464.50339
Alabama,CD 2,Male,Under 65,9/30/2021,30942.94729
Alabama,CD 3,Female,65 and Over,9/30/2021,1419.505319
Alabama,CD 3,Female,Under 65,9/30/2021,5412.238243
Alabama,CD 3,Male,65 and Over,9/30/2021,21455.20951
Alabama,CD 3,Male,Under 65,9/30/2021,26189.34276
Alabama,CD 4,Female,65 and Over,9/30/2021,963.3726241
Alabama,CD 4,Female,Under 65,9/30/2021,2410.821651
Alabama,CD 4,Male,65 and Over,9/30/2021,19750.57577
Alabama,CD 4,Male,Under 65,9/30/2021,18967.9919
Alabama,CD 5,Female,65 and Over,9/30/2021,1040.698006
Alabama,CD 5,Female,Under 65,9/30/2021,5430.959187
Alabama,CD 5,Male,65 and Over,9/30/2021,23683.74649
Alabama,CD 5,Male,Under 65,9/30/2021,27269.58486
Alabama,CD 6,Female,65 and Over,9/30/2021,1222.717806
Alabama,CD 6,Female,Under 65,9/30/2021,2953.678493
Alabama,CD 6,Male,65 and Over,9/30/2021,20780.36169
Alabama,CD 6,Male,Under 65,9/30/2021,18540.93939
Alabama,CD 7,Female,65 and Over,9/30/2021,964.5270877
Alabama,CD 7,Female,Under 65,9/30/2021,5659.693288
Alabama,CD 7,Male,65 and Over,9/30/2021,15526.40018
Alabama,CD 7,Male,Under 65,9/30/2021,20644.97202
Alaska,CD (at Large),Female,65 and Over,9/30/2021,1859.767483
Alaska,CD (at Large),Female,Under 65,9/30/2021,8052.412438
Alaska,CD (at Large),Male,65 and Over,9/30/2021,19746.91085
Alaska,CD (at Large),Male,Under 65,9/30/2021,37729.07029
Arizona,CD 1,Female,65 and Over,9/30/2021,1291.177811
Arizona,CD 1,Female,Under 65,9/30/2021,3464.675245
Arizona,CD 1,Male,65 and Over,9/30/2021,28391.93741
Arizona,CD 1,Male,Under 65,9/30/2021,19584.96907
Arizona,CD 2,Female,65 and Over,9/30/2021,2371.039708
Arizona,CD 2,Female,Under 65,9/30/2021,8212.47398
Arizona,CD 2,Male,65 and Over,9/30/2021,32997.92018
Arizona,CD 2,Male,Under 65,9/30/2021,33964.07709
Arizona,CD 3,Female,65 and Over,9/30/2021,657.9918604
Arizona,CD 3,Female,Under 65,9/30/2021,3462.784412
Arizona,CD 3,Male,65 and Over,9/30/2021,13347.52329
Arizona,CD 3,Male,Under 65,9/30/2021,19603.6233
Arizona,CD 4,Female,65 and Over,9/30/2021,3476.665428
Arizona,CD 4,Female,Under 65,9/30/2021,4324.595614
Arizona,CD 4,Male,65 and Over,9/30/2021,48899.29249
Arizona,CD 4,Male,Under 65,9/30/2021,24815.64802
Arizona,CD 5,Female,65 and Over,9/30/2021,1405.456442
Arizona,CD 5,Female,Under 65,9/30/2021,3613.398091
Arizona,CD 5,Male,65 and Over,9/30/2021,26182.2532
Arizona,CD 5,Male,Under 65,9/30/2021,23972.38894
Arizona,CD 6,Female,65 and Over,9/30/2021,1367.662021
Arizona,CD 6,Female,Under 65,9/30/2021,3419.423679
Arizona,CD 6,Male,65 and Over,9/30/2021,25885.44683
Arizona,CD 6,Male,Under 65,9/30/2021,18960.9003
Arizona,CD 7,Female,65 and Over,9/30/2021,552.6881927
Arizona,CD 7,Female,Under 65,9/30/2021,2841.51802
Arizona,CD 7,Male,65 and Over,9/30/2021,8469.388191
Arizona,CD 7,Male,Under 65,9/30/2021,15359.00886
Arizona,CD 8,Female,65 and Over,9/30/2021,1999.118785
Arizona,CD 8,Female,Under 65,9/30/2021,4988.142004
Arizona,CD 8,Male,65 and Over,9/30/2021,35897.42282
Arizona,CD 8,Male,Under 65,9/30/2021,27871.03133
Arizona,CD 9,Female,65 and Over,9/30/2021,1202.595979
Arizona,CD 9,Female,Under 65,9/30/2021,4016.140894
Arizona,CD 9,Male,65 and Over,9/30/2021,15786.42184
Arizona,CD 9,Male,Under 65,9/30/2021,20795.8832
Arkansas,CD 1,Female,65 and Over,9/30/2021,849.021933
Arkansas,CD 1,Female,Under 65,9/30/2021,3055.140035
Arkansas,CD 1,Male,65 and Over,9/30/2021,20499.90374
Arkansas,CD 1,Male,Under 65,9/30/2021,21366.4054
Arkansas,CD 2,Female,65 and Over,9/30/2021,945.8264653
Arkansas,CD 2,Female,Under 65,9/30/2021,5260.507639
Arkansas,CD 2,Male,65 and Over,9/30/2021,21533.67354
Arkansas,CD 2,Male,Under 65,9/30/2021,26721.81279
Arkansas,CD 3,Female,65 and Over,9/30/2021,673.5856157
Arkansas,CD 3,Female,Under 65,9/30/2021,3632.723578
Arkansas,CD 3,Male,65 and Over,9/30/2021,21212.72446
