Date,FIPS,"County, St",Age Group,State,Gender,Veterans
9/30/2021,1001,"Autauga,AL",17-44,Alabama,Female,346.0262358
9/30/2021,1001,"Autauga,AL",45-64,Alabama,Female,413.4501313
9/30/2021,1001,"Autauga,AL",65-84,Alabama,Female,117.4226651
9/30/2021,1001,"Autauga,AL",85+,Alabama,Female,5.729423996
9/30/2021,1001,"Autauga,AL",17-44,Alabama,Male,1009.724006
9/30/2021,1001,"Autauga,AL",45-64,Alabama,Male,1824.305343
9/30/2021,1001,"Autauga,AL",65-84,Alabama,Male,1704.547887
9/30/2021,1001,"Autauga,AL",85+,Alabama,Male,281.9837734
9/30/2021,1003,"Baldwin,AL",17-44,Alabama,Female,500.8835385
9/30/2021,1003,"Baldwin,AL",45-64,Alabama,Female,814.9147725
9/30/2021,1003,"Baldwin,AL",65-84,Alabama,Female,173.5736103
9/30/2021,1003,"Baldwin,AL",85+,Alabama,Female,20.38458586
9/30/2021,1003,"Baldwin,AL",17-44,Alabama,Male,2435.643704
9/30/2021,1003,"Baldwin,AL",45-64,Alabama,Male,5174.297495
9/30/2021,1003,"Baldwin,AL",65-84,Alabama,Male,8887.128484
9/30/2021,1003,"Baldwin,AL",85+,Alabama,Male,1658.977512
9/30/2021,1005,"Barbour,AL",17-44,Alabama,Female,82.88706527
9/30/2021,1005,"Barbour,AL",45-64,Alabama,Female,99.41739674
9/30/2021,1005,"Barbour,AL",65-84,Alabama,Female,30.68728376
9/30/2021,1005,"Barbour,AL",85+,Alabama,Female,0.987203406
9/30/2021,1005,"Barbour,AL",17-44,Alabama,Male,235.7447246
9/30/2021,1005,"Barbour,AL",45-64,Alabama,Male,606.6998447
9/30/2021,1005,"Barbour,AL",65-84,Alabama,Male,696.4211127
9/30/2021,1005,"Barbour,AL",85+,Alabama,Male,96.00044653
9/30/2021,1007,"Bibb,AL",17-44,Alabama,Female,24.56365253
9/30/2021,1007,"Bibb,AL",45-64,Alabama,Female,38.95424626
