Date,Age Groups,Gender,Veterans
9/30/2021,20-24,Female,54637.70664
9/30/2021,20-24,Male,212280.8402
9/30/2021,25-29,Female,116731.4747
9/30/2021,25-29,Male,495935.6097
9/30/2021,30-34,Female,172653.5135
9/30/2021,30-34,Male,752607.3669
9/30/2021,35-39,Female,201512.6178
9/30/2021,35-39,Male,868506.0373
9/30/2021,40-44,Female,209782.2968
9/30/2021,40-44,Male,897981.9883
9/30/2021,45-49,Female,187611.4488
9/30/2021,45-49,Male,957144.2259
9/30/2021,50-54,Female,215436.6446
9/30/2021,50-54,Male,1334525.418
9/30/2021,55-59,Female,227289.8135
9/30/2021,55-59,Male,1530959.049
9/30/2021,60-64,Female,228249.1609
9/30/2021,60-64,Male,1620712.961
9/30/2021,65-69,Female,170376.285
9/30/2021,65-69,Male,1591497.64
9/30/2021,70-74,Female,107923.2945
9/30/2021,70-74,Male,2246104.459
9/30/2021,75-79,Female,60472.02318
9/30/2021,75-79,Male,2006520.024
9/30/2021,80-84,Female,41018.73223
9/30/2021,80-84,Male,1161790.072
9/30/2021,85+,Female,49084.57167
9/30/2021,85+,Male,1433592.724
9/30/2021,< 20,Female,2603.991841
9/30/2021,< 20,Male,6972.648962
