Date,Age Groups,Gender,State,Veterans
9/30/2021,20-24,Female,Alabama,1160.227517
9/30/2021,20-24,Female,Alaska,367.3709733
9/30/2021,20-24,Female,Arizona,1184.720522
9/30/2021,20-24,Female,Arkansas,754.4445795
9/30/2021,20-24,Female,California,4792.976509
9/30/2021,20-24,Female,Colorado,1081.594692
9/30/2021,20-24,Female,Connecticut,444.3465579
9/30/2021,20-24,Female,Delaware,155.9171112
9/30/2021,20-24,Female,District of Columbia,47.21877686
9/30/2021,20-24,Female,Florida,3434.068171
9/30/2021,20-24,Female,Georgia,2675.971476
9/30/2021,20-24,Female,Hawaii,395.8429897
9/30/2021,20-24,Female,Idaho,351.2331021
9/30/2021,20-24,Female,Illinois,1761.580121
9/30/2021,20-24,Female,Indiana,1219.676418
9/30/2021,20-24,Female,Iowa,532.480934
9/30/2021,20-24,Female,Island Areas & Foreign,58.56548646
9/30/2021,20-24,Female,Kansas,683.8979358
9/30/2021,20-24,Female,Kentucky,834.156911
9/30/2021,20-24,Female,Louisiana,1117.30758
9/30/2021,20-24,Female,Maine,228.2007193
9/30/2021,20-24,Female,Maryland,860.1586425
9/30/2021,20-24,Female,Massachusetts,678.1105377
9/30/2021,20-24,Female,Michigan,1319.931557
9/30/2021,20-24,Female,Minnesota,845.9910375
9/30/2021,20-24,Female,Mississippi,844.4916669
9/30/2021,20-24,Female,Missouri,1132.437958
9/30/2021,20-24,Female,Montana,239.13275
9/30/2021,20-24,Female,Nebraska,354.2881645
9/30/2021,20-24,Female,Nevada,578.7574939
9/30/2021,20-24,Female,New Hampshire,213.5068307
9/30/2021,20-24,Female,New Jersey,855.5610392
9/30/2021,20-24,Female,New Mexico,366.0522253
9/30/2021,20-24,Female,New York,1714.968281
9/30/2021,20-24,Female,North Carolina,2462.4978
9/30/2021,20-24,Female,North Dakota,189.4364853
9/30/2021,20-24,Female,Ohio,2052.60624
9/30/2021,20-24,Female,Oklahoma,857.6427242
9/30/2021,20-24,Female,Oregon,633.0309387
9/30/2021,20-24,Female,Pennsylvania,1730.45604
9/30/2021,20-24,Female,Puerto Rico,107.8898966
9/30/2021,20-24,Female,Rhode Island,145.3036058
9/30/2021,20-24,Female,South Carolina,1351.304144
9/30/2021,20-24,Female,South Dakota,187.1726138
9/30/2021,20-24,Female,Tennessee,1274.644925
9/30/2021,20-24,Female,Texas,5181.985606
9/30/2021,20-24,Female,Utah,364.5610972
9/30/2021,20-24,Female,Vermont,70.99809347
9/30/2021,20-24,Female,Virginia,2058.492337
9/30/2021,20-24,Female,Washington,1333.205043
9/30/2021,20-24,Female,West Virginia,305.2552067
9/30/2021,20-24,Female,Wisconsin,909.853491
9/30/2021,20-24,Female,Wyoming,136.1830831
9/30/2021,20-24,Male,Alabama,4199.003163
9/30/2021,20-24,Male,Alaska,1432.855149
9/30/2021,20-24,Male,Arizona,4382.985817
9/30/2021,20-24,Male,Arkansas,2901.215492
9/30/2021,20-24,Male,California,19172.65704
9/30/2021,20-24,Male,Colorado,4361.647829
9/30/2021,20-24,Male,Connecticut,1826.003855
9/30/2021,20-24,Male,Delaware,611.5202227
9/30/2021,20-24,Male,District of Columbia,208.9893996
