State,Congressional District (CD),Gender,Age Group,Date,Veteran
Alabama,CD 1,F,65 and Over,09/30/2018 12:00:00 AM,711.19300462
Alabama,CD 1,F,65 and Over,09/30/2019 12:00:00 AM,782.21792987
Alabama,CD 1,F,65 and Over,09/30/2020 12:00:00 AM,860.38807672
Alabama,CD 1,F,65 and Over,09/30/2021 12:00:00 AM,944.59579241
Alabama,CD 1,F,65 and Over,09/30/2022 12:00:00 AM,1014.5609603
Alabama,CD 1,F,65 and Over,09/30/2023 12:00:00 AM,1106.8691426
Alabama,CD 1,F,65 and Over,09/30/2024 12:00:00 AM,1217.8369866
Alabama,CD 1,F,65 and Over,09/30/2025 12:00:00 AM,1341.2466308
Alabama,CD 1,F,65 and Over,09/30/2026 12:00:00 AM,1446.944142
Alabama,CD 1,F,65 and Over,09/30/2027 12:00:00 AM,1511.9972908
Alabama,CD 1,F,65 and Over,09/30/2028 12:00:00 AM,1581.7506362
Alabama,CD 1,F,65 and Over,09/30/2029 12:00:00 AM,1638.9628353
Alabama,CD 1,F,65 and Over,09/30/2030 12:00:00 AM,1683.4511107
Alabama,CD 1,F,65 and Over,09/30/2031 12:00:00 AM,1712.1381927
Alabama,CD 1,F,65 and Over,09/30/2032 12:00:00 AM,1738.3700799
Alabama,CD 1,F,65 and Over,09/30/2033 12:00:00 AM,1770.7071403
Alabama,CD 1,F,65 and Over,09/30/2034 12:00:00 AM,1793.4538862
Alabama,CD 1,F,65 and Over,09/30/2035 12:00:00 AM,1819.6959392
Alabama,CD 1,F,65 and Over,09/30/2036 12:00:00 AM,1825.0901829
Alabama,CD 1,F,65 and Over,09/30/2037 12:00:00 AM,1831.2183456
Alabama,CD 1,F,65 and Over,09/30/2038 12:00:00 AM,1838.1130373
Alabama,CD 1,F,65 and Over,09/30/2039 12:00:00 AM,1847.2059979
Alabama,CD 1,F,65 and Over,09/30/2040 12:00:00 AM,1854.2779873
Alabama,CD 1,F,65 and Over,09/30/2041 12:00:00 AM,1858.1303641
Alabama,CD 1,F,65 and Over,09/30/2042 12:00:00 AM,1871.3984598
Alabama,CD 1,F,65 and Over,09/30/2043 12:00:00 AM,1884.3190823
Alabama,CD 1,F,65 and Over,09/30/2044 12:00:00 AM,1897.3713825
Alabama,CD 1,F,65 and Over,09/30/2045 12:00:00 AM,1921.4400255
Alabama,CD 1,F,65 and Over,09/30/2046 12:00:00 AM,1944.4208298
Alabama,CD 1,F,65 and Over,09/30/2047 12:00:00 AM,1966.0798797
Alabama,CD 1,F,65 and Over,09/30/2048 12:00:00 AM,1988.3711037
Alabama,CD 1,F,Under 65,09/30/2018 12:00:00 AM,4655.4367511
Alabama,CD 1,F,Under 65,09/30/2019 12:00:00 AM,4650.7641015
Alabama,CD 1,F,Under 65,09/30/2020 12:00:00 AM,4635.2969149
Alabama,CD 1,F,Under 65,09/30/2021 12:00:00 AM,4602.2046174
