Gender,Date,Branch,Veterans
Female,09/30/2018 12:00:00 AM,Army,883946
Female,09/30/2018 12:00:00 AM,Navy,388101
Female,09/30/2018 12:00:00 AM,AirForce,454559
Female,09/30/2018 12:00:00 AM,Marines,111607
Female,09/30/2018 12:00:00 AM,NonDefense,25880
Female,09/30/2018 12:00:00 AM,ReserveForces,134258
Female,09/30/2019 12:00:00 AM,Army,888701
Female,09/30/2019 12:00:00 AM,Navy,391260
Female,09/30/2019 12:00:00 AM,AirForce,455943
Female,09/30/2019 12:00:00 AM,Marines,113579
Female,09/30/2019 12:00:00 AM,NonDefense,26331
Female,09/30/2019 12:00:00 AM,ReserveForces,138912
Female,09/30/2020 12:00:00 AM,Army,893382
Female,09/30/2020 12:00:00 AM,Navy,394304
Female,09/30/2020 12:00:00 AM,AirForce,457216
Female,09/30/2020 12:00:00 AM,Marines,115505
Female,09/30/2020 12:00:00 AM,NonDefense,26765
Female,09/30/2020 12:00:00 AM,ReserveForces,143415
Female,09/30/2021 12:00:00 AM,Army,897703
Female,09/30/2021 12:00:00 AM,Navy,397185
Female,09/30/2021 12:00:00 AM,AirForce,458214
Female,09/30/2021 12:00:00 AM,Marines,117401
Female,09/30/2021 12:00:00 AM,NonDefense,27176
Female,09/30/2021 12:00:00 AM,ReserveForces,147705
Female,09/30/2022 12:00:00 AM,Army,901901
Female,09/30/2022 12:00:00 AM,Navy,400017
Female,09/30/2022 12:00:00 AM,AirForce,459093
Female,09/30/2022 12:00:00 AM,Marines,119308
Female,09/30/2022 12:00:00 AM,NonDefense,27575
Female,09/30/2022 12:00:00 AM,ReserveForces,151911
Female,09/30/2023 12:00:00 AM,Army,906486
Female,09/30/2023 12:00:00 AM,Navy,403084
Female,09/30/2023 12:00:00 AM,AirForce,460226
Female,09/30/2023 12:00:00 AM,Marines,121319
Female,09/30/2023 12:00:00 AM,NonDefense,27993
Female,09/30/2023 12:00:00 AM,ReserveForces,154900
Female,09/30/2024 12:00:00 AM,Army,911433
Female,09/30/2024 12:00:00 AM,Navy,406186
Female,09/30/2024 12:00:00 AM,AirForce,461994
Female,09/30/2024 12:00:00 AM,Marines,122696
Female,09/30/2024 12:00:00 AM,NonDefense,28431
Female,09/30/2024 12:00:00 AM,ReserveForces,157067
Female,09/30/2025 12:00:00 AM,Army,916948
Female,09/30/2025 12:00:00 AM,Navy,409586
Female,09/30/2025 12:00:00 AM,AirForce,464069
Female,09/30/2025 12:00:00 AM,Marines,124169
Female,09/30/2025 12:00:00 AM,NonDefense,28900
Female,09/30/2025 12:00:00 AM,ReserveForces,157285
Female,09/30/2026 12:00:00 AM,Army,922233
Female,09/30/2026 12:00:00 AM,Navy,412876
Female,09/30/2026 12:00:00 AM,AirForce,466022
Female,09/30/2026 12:00:00 AM,Marines,125609
Female,09/30/2026 12:00:00 AM,NonDefense,29358
Female,09/30/2026 12:00:00 AM,ReserveForces,157476
Female,09/30/2027 12:00:00 AM,Army,927248
Female,09/30/2027 12:00:00 AM,Navy,416035
Female,09/30/2027 12:00:00 AM,AirForce,467803
Female,09/30/2027 12:00:00 AM,Marines,127017
Female,09/30/2027 12:00:00 AM,NonDefense,29804
Female,09/30/2027 12:00:00 AM,ReserveForces,157641
Female,09/30/2028 12:00:00 AM,Army,931937
Female,09/30/2028 12:00:00 AM,Navy,419035
Female,09/30/2028 12:00:00 AM,AirForce,469384
Female,09/30/2028 12:00:00 AM,Marines,128383
Female,09/30/2028 12:00:00 AM,NonDefense,30239
Female,09/30/2028 12:00:00 AM,ReserveForces,157774
Female,09/30/2029 12:00:00 AM,Army,936296
Female,09/30/2029 12:00:00 AM,Navy,421874
Female,09/30/2029 12:00:00 AM,AirForce,470767
Female,09/30/2029 12:00:00 AM,Marines,129708
Female,09/30/2029 12:00:00 AM,NonDefense,30662
Female,09/30/2029 12:00:00 AM,ReserveForces,157877
Female,09/30/2030 12:00:00 AM,Army,940365
Female,09/30/2030 12:00:00 AM,Navy,424574
Female,09/30/2030 12:00:00 AM,AirForce,471989
Female,09/30/2030 12:00:00 AM,Marines,130995
Female,09/30/2030 12:00:00 AM,NonDefense,31075
Female,09/30/2030 12:00:00 AM,ReserveForces,157947
Female,09/30/2031 12:00:00 AM,Army,944075
Female,09/30/2031 12:00:00 AM,Navy,427111
Female,09/30/2031 12:00:00 AM,AirForce,472998
Female,09/30/2031 12:00:00 AM,Marines,132242
Female,09/30/2031 12:00:00 AM,NonDefense,31477
Female,09/30/2031 12:00:00 AM,ReserveForces,157981
Female,09/30/2032 12:00:00 AM,Army,947479
Female,09/30/2032 12:00:00 AM,Navy,429517
Female,09/30/2032 12:00:00 AM,AirForce,473850
Female,09/30/2032 12:00:00 AM,Marines,133450
Female,09/30/2032 12:00:00 AM,NonDefense,31869
Female,09/30/2032 12:00:00 AM,ReserveForces,157978
Female,09/30/2033 12:00:00 AM,Army,950619
Female,09/30/2033 12:00:00 AM,Navy,431818
Female,09/30/2033 12:00:00 AM,AirForce,474576
Female,09/30/2033 12:00:00 AM,Marines,134626
Female,09/30/2033 12:00:00 AM,NonDefense,32251
Female,09/30/2033 12:00:00 AM,ReserveForces,157937
Female,09/30/2034 12:00:00 AM,Army,953313
Female,09/30/2034 12:00:00 AM,Navy,433904
Female,09/30/2034 12:00:00 AM,AirForce,474988
Female,09/30/2034 12:00:00 AM,Marines,135758
Female,09/30/2034 12:00:00 AM,NonDefense,32617
Female,09/30/2034 12:00:00 AM,ReserveForces,157854
Female,09/30/2035 12:00:00 AM,Army,955562
Female,09/30/2035 12:00:00 AM,Navy,435785
Female,09/30/2035 12:00:00 AM,AirForce,475108
Female,09/30/2035 12:00:00 AM,Marines,136844
Female,09/30/2035 12:00:00 AM,NonDefense,32968
Female,09/30/2035 12:00:00 AM,ReserveForces,157725
Female,09/30/2036 12:00:00 AM,Army,957409
Female,09/30/2036 12:00:00 AM,Navy,437482
Female,09/30/2036 12:00:00 AM,AirForce,474970
Female,09/30/2036 12:00:00 AM,Marines,137889
Female,09/30/2036 12:00:00 AM,NonDefense,33305
Female,09/30/2036 12:00:00 AM,ReserveForces,157551
Female,09/30/2037 12:00:00 AM,Army,958858
Female,09/30/2037 12:00:00 AM,Navy,439000
Female,09/30/2037 12:00:00 AM,AirForce,474584
Female,09/30/2037 12:00:00 AM,Marines,138892
Female,09/30/2037 12:00:00 AM,NonDefense,33629
Female,09/30/2037 12:00:00 AM,ReserveForces,157330
Female,09/30/2038 12:00:00 AM,Army,959880
Female,09/30/2038 12:00:00 AM,Navy,440328
Female,09/30/2038 12:00:00 AM,AirForce,473946
Female,09/30/2038 12:00:00 AM,Marines,139844
Female,09/30/2038 12:00:00 AM,NonDefense,33938
Female,09/30/2038 12:00:00 AM,ReserveForces,157059
Female,09/30/2039 12:00:00 AM,Army,960535
Female,09/30/2039 12:00:00 AM,Navy,441493
