Date,Age Groups,Gender,Veterans
9/30/2018  12:00:00 AMale,20-24,Female,55022.4273
9/30/2018  12:00:00 AMale,20-24,Male,206633.4325
9/30/2018  12:00:00 AMale,25-29,Female,129800.3677
9/30/2018  12:00:00 AMale,25-29,Male,560256.4118
9/30/2018  12:00:00 AMale,30-34,Female,179136.9072
9/30/2018  12:00:00 AMale,30-34,Male,788861.1133
9/30/2018  12:00:00 AMale,35-39,Female,210623.4728
9/30/2018  12:00:00 AMale,35-39,Male,881167.055
9/30/2018  12:00:00 AMale,40-44,Female,188943.5038
9/30/2018  12:00:00 AMale,40-44,Male,867983.89
9/30/2018  12:00:00 AMale,45-49,Female,204214.5905
9/30/2018  12:00:00 AMale,45-49,Male,1194004.45
9/30/2018  12:00:00 AMale,50-54,Female,216376.5429
9/30/2018  12:00:00 AMale,50-54,Male,1460955.186
9/30/2018  12:00:00 AMale,55-59,Female,245866.4825
9/30/2018  12:00:00 AMale,55-59,Male,1671657.222
9/30/2018  12:00:00 AMale,60-64,Female,202172.4075
9/30/2018  12:00:00 AMale,60-64,Male,1683938.715
9/30/2018  12:00:00 AMale,65-69,Female,134360.3538
9/30/2018  12:00:00 AMale,65-69,Male,1899315.926
9/30/2018  12:00:00 AMale,70-74,Female,81346.76634
9/30/2018  12:00:00 AMale,70-74,Male,2675709.679
9/30/2018  12:00:00 AMale,75-79,Female,51332.32556
9/30/2018  12:00:00 AMale,75-79,Male,1627897.834
9/30/2018  12:00:00 AMale,80-84,Female,39062.95858
9/30/2018  12:00:00 AMale,80-84,Male,1202966.271
9/30/2018  12:00:00 AMale,85+,Female,57337.19371
9/30/2018  12:00:00 AMale,85+,Male,1607303.05
9/30/2018  12:00:00 AMale,< 20,Female,2754.714739
9/30/2018  12:00:00 AMale,< 20,Male,6893.038966
9/30/2019  12:00:00 AMale,20-24,Female,56186.04798
9/30/2019  12:00:00 AMale,20-24,Male,209903.4317
9/30/2019  12:00:00 AMale,25-29,Female,123043.7875
9/30/2019  12:00:00 AMale,25-29,Male,530629.2188
9/30/2019  12:00:00 AMale,30-34,Female,177531.377
9/30/2019  12:00:00 AMale,30-34,Male,781982.9166
9/30/2019  12:00:00 AMale,35-39,Female,210580.2572
9/30/2019  12:00:00 AMale,35-39,Male,887320.6992
9/30/2019  12:00:00 AMale,40-44,Female,194384.5139
9/30/2019  12:00:00 AMale,40-44,Male,862689.9113
9/30/2019  12:00:00 AMale,45-49,Female,198489.8407
9/30/2019  12:00:00 AMale,45-49,Male,1114228.439
9/30/2019  12:00:00 AMale,50-54,Female,214368.971
9/30/2019  12:00:00 AMale,50-54,Male,1412051.287
9/30/2019  12:00:00 AMale,55-59,Female,244082.1156
9/30/2019  12:00:00 AMale,55-59,Male,1643133.083
