Date,Gender,POS,Veterans
09/30/2018 12:00:00 AM,F,(h) Pre-WWII,127
09/30/2018 12:00:00 AM,F,(i) WWII only,26412
09/30/2018 12:00:00 AM,F,(j) WWII & KC,821
09/30/2018 12:00:00 AM,F,"(k) WWII, KC, VNE",607
09/30/2018 12:00:00 AM,F,(l) Between WWII & KC,3122
09/30/2018 12:00:00 AM,F,(m) KC only,33255
09/30/2018 12:00:00 AM,F,(n) KC & VNE,2570
09/30/2018 12:00:00 AM,F,(o) Between KC & VNE,51818
09/30/2018 12:00:00 AM,F,(p) VNE only,239797
09/30/2018 12:00:00 AM,F,(q) VNE & GW Era - Pre 9/11,16561
09/30/2018 12:00:00 AM,F,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",3564
09/30/2018 12:00:00 AM,F,(t) Between VNE & GW Era,383048
09/30/2018 12:00:00 AM,F,(u) GW Era - Pre 9/11 only,435292
09/30/2018 12:00:00 AM,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,232385
09/30/2018 12:00:00 AM,F,(w) GW Era - Post 9/11 only,563886
09/30/2018 12:00:00 AM,F,(s) VNE & GW Era - Post 9/11,5084
09/30/2018 12:00:00 AM,F,(x) Post-GW Era,0
09/30/2018 12:00:00 AM,F,(a) All Veterans (b+c),1998351
09/30/2018 12:00:00 AM,F,(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),1560236
09/30/2018 12:00:00 AM,F,(c) Peacetime Veterans (h+l+o+t+x),438115
09/30/2018 12:00:00 AM,F,(d) WW II (i+j+k),27841
09/30/2018 12:00:00 AM,F,(e) Korean Conflict (j+k+m+n),37253
09/30/2018 12:00:00 AM,F,(f) Vietnam Era (k+n+p+q+r+s),268184
09/30/2018 12:00:00 AM,F,(g) Gulf War Era (q+r+s+u+v+w),1256773
09/30/2018 12:00:00 AM,M,(h) Pre-WWII,3966
09/30/2018 12:00:00 AM,M,(i) WWII only,500952
09/30/2018 12:00:00 AM,M,(j) WWII & KC,26889
