Date,44469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Veterans,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,< 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total,,,,,,,,,,,,,,
Alabama,223,5359,10917,16804,18935,20754,23001,31864,35380,38064,36677,42127,36396,18949,22071,357520,,,,,,,,,,,,,,
Alaska,43,1800,4030,5183,5577,5510,5044,5855,6340,6400,5880,6493,4502,2125,2608,67388,,,,,,,,,,,,,,
Arizona,174,5568,14221,22760,26108,26789,27110,35708,40632,44200,44212,60739,65118,39537,40576,493453,,,,,,,,,,,,,,
Arkansas,207,3656,6878,10090,10745,11082,11772,16204,17351,18880,19139,24541,20937,11165,13038,195685,,,,,,,,,,,,,,
California,615,23966,61802,90193,100384,100300,93012,113655,130901,146155,149290,182263,178270,105836,139316,1615957,,,,,,,,,,,,,,
Colorado,156,5443,15313,23715,26447,25105,25397,33454,35384,36341,35258,40524,40462,20768,23851,387618,,,,,,,,,,,,,,
Connecticut,95,2270,4750,6573,7244,7654,7933,10667,13719,15419,13374,20832,18502,12586,16332,157950,,,,,,,,,,,,,,
Delaware,24,767,1751,2497,2972,3275,3434,4793,6715,7459,6440,9128,9083,5331,5182,68850,,,,,,,,,,,,,,
District of Columbia,7,256,867,1450,2113,2373,1960,2405,2966,3619,3166,1102,2544,1023,2436,28286,,,,,,,,,,,,,,
Florida,513,15876,38020,59586,70468,76446,82629,111433,134888,149730,133757,182772,173704,119084,143270,1492176,,,,,,,,,,,,,,
Georgia,422,11782,26345,38057,40815,43757,46941,64644,71365,74355,64227,78534,62152,31653,34223,689274,,,,,,,,,,,,,,
Hawaii,46,1887,5103,6907,7777,8522,7440,8865,9958,10358,9118,12356,10566,5465,8388,112756,,,,,,,,,,,,,,
Idaho,69,1738,3508,5766,6516,6661,7003,9748,10520,10762,11279,16829,14887,7927,9324,122536,,,,,,,,,,,,,,
Illinois,365,8597,17460,25523,31558,33215,33703,48745,52479,52993,49604,78164,69086,38906,50868,591269,,,,,,,,,,,,,,
Indiana,252,6208,11982,18493,20707,19296,21909,33992,40691,41147,38177,49440,45977,25584,28532,402387,,,,,,,,,,,,,,
Iowa,162,2909,5468,8526,10027,9695,10166,15507,18029,16986,17119,27784,21459,12128,18990,194954,,,,,,,,,,,,,,
Island Areas & Foreign,14,404,1189,2816,4295,4669,5480,7583,9181,10388,9047,9511,8422,6239,5988,85226,,,,,,,,,,,,,,
Kansas,111,3290,7993,11950,12803,12267,12000,15151,15965,16629,17227,24720,17070,10702,15086,192964,,,,,,,,,,,,,,
Kentucky,154,4249,9217,13020,15246,15661,17689,25226,28437,28534,27129,35793,29983,15210,19253,284803,,,,,,,,,,,,,,
Louisiana,225,5097,9824,14421,18236,20337,20473,27476,24000,24146,26531,33781,23241,17100,18110,282999,,,,,,,,,,,,,,
Maine,51,1170,2472,3878,4514,4867,5713,7887,10260,11618,10876,15419,12623,5308,10178,106834,,,,,,,,,,,,,,
Maryland,140,4107,10840,16448,21716,25249,25382,33563,39854,41441,34288,40988,36301,21779,25676,377772,,,,,,,,,,,,,,
Massachusetts,113,3467,8077,12337,14131,14138,15077,20771,27894,30961,26834,38458,37071,23162,33215,305707,,,,,,,,,,,,,,
Michigan,256,6534,13795,22051,24546,23602,27757,44731,54109,53795,51009,82176,68446,36657,44817,554281,,,,,,,,,,,,,,
Minnesota,222,4325,8246,12902,15072,14090,14277,22422,27179,28394,28315,41224,38712,19661,29235,304276,,,,,,,,,,,,,,
Mississippi,188,3739,6774,9316,10638,11478,12351,16920,18008,19471,17890,18685,16878,10123,10317,182774,,,,,,,,,,,,,,
Missouri,246,5760,12224,18269,21506,22024,23332,33013,38039,41282,39842,53190,48302,24680,32032,413742,,,,,,,,,,,,,,
Montana,55,1214,2554,4167,4940,5073,5054,6881,7692,7618,8241,12250,10565,5692,6357,88352,,,,,,,,,,,,,,
Nebraska,81,1755,4147,6763,7739,7293,7577,10653,11564,11312,10563,15338,12771,6393,10350,124300,,,,,,,,,,,,,,
Nevada,99,2641,6719,11199,12723,13119,12972,16832,19750,21035,20848,28597,23705,12480,15333,218052,,,,,,,,,,,,,,
New Hampshire,44,1142,2760,4029,4270,4272,5014,7225,9500,10814,9372,12233,12315,6918,7365,97271,,,,,,,,,,,,,,
New Jersey,144,4161,9226,13326,15843,16764,16250,21540,28896,31576,26862,39064,42856,24436,38015,328958,,,,,,,,,,,,,,
